NECESSARY CALCULATION FOR FITTING A REGRESSION LINE
---------------------------------------------------
		X 				  X*X 				 	 Y 				 	    	XY
	 76.000000 			 5776.000000 			 4.400000 			 	 334.399994

	 69.000000 			 4761.000000 			 4.600000 			 	 317.399994

	 71.000000 			 5041.000000 			 4.600000 			 	 326.600006

	 76.000000 			 5776.000000 			 4.100000 			 	 311.600006

	 83.000000 			 6889.000000 			 4.000000 			 	 332.000000

	 72.000000 			 5184.000000 			 4.100000 			 	 295.199982

	 78.000000 			 6084.000000 			 4.900000 			 	 382.200012

	 74.000000 			 5476.000000 			 4.800000 			 	 355.200012

	 80.000000 			 6400.000000 			 4.200000 			 	 336.000000

	 82.000000 			 6724.000000 			 4.400000 			 	 360.800018

	 90.000000 			 8100.000000 			 3.800000 			 	 342.000000

---------------------------------------------------

	 851.000000 		 66211.000000 			 47.900002 			 	 3693.399902 			 	 :::::: TOTAL

Equation of fitted regression line is y = (-0.032889)x + (6.898981)
